"user_id","region","first_order_ts","last_order_ts","lifetime","total_orders","avg_order_rating","num_orders_with_rating","num_canceled_orders","canceled_orders_ratio","total_order_costs","avg_order_cost","num_installment_orders","num_orders_with_promo","used_money_transfer","used_installments","used_cancel"
"1da09dd64e235e7c2f29a4faff33535c",Санкт-Петербург,2023-05-10 14:04:15.000,2024-01-11 11:16:49.000,"245 days 21:12:34",3,3.66666666666666666667,3,0,0.0000,44150.00,14716.67,0,0,1,0,0
"297ec5afd18366f5ba27520cc4954151",Москва,2024-02-16 13:30:10.000,2024-05-12 21:23:13.000,"86 days 07:53:03",3,5.0000000000000000,2,0,0.0000,37435.00,12478.33,2,0,0,1,0
cef29e793e232d30250331804cdb7000,Новосибирская область,2023-03-09 18:15:38.000,2024-01-18 19:59:07.000,"315 days 01:43:29",3,5.0000000000000000,2,0,0.0000,34555.00,11518.33,0,0,1,0,0
"397b44d5bb99eabf54ea9c2b41ebb905",Санкт-Петербург,2024-01-11 12:16:24.000,2024-06-17 19:21:01.000,"158 days 07:04:37",4,5.0000000000000000,2,0,0.0000,43713.00,10928.25,3,1,1,1,0
d132b863416f85f2abb1a988ca05dd12,Москва,2023-08-14 13:42:08.000,2024-07-21 19:57:05.000,"342 days 06:14:57",3,5.0000000000000000,3,0,0.0000,29114.00,9704.67,2,0,0,1,0
d387ea85dc301a91740e31360d355686,Москва,2024-01-23 10:24:15.000,2024-05-28 16:08:37.000,"126 days 05:44:22",3,5.0000000000000000,1,0,0.0000,27425.00,9141.67,3,0,0,1,0
"4e1cce07cd5937c69dacac3c8b13d965",Москва,2023-11-25 15:48:03.000,2024-07-30 16:04:45.000,"248 days 00:16:42",3,3.5000000000000000,2,0,0.0000,25810.00,8603.33,3,0,0,1,0
"9832ae2f7d3e5fa4c7a1a06e9551bc61",Санкт-Петербург,2023-07-14 00:08:37.000,2024-04-24 23:25:11.000,"285 days 23:16:34",3,2.6666666666666667,3,0,0.0000,23915.00,7971.67,2,0,0,1,0
fe81bb32c243a86b2f86fbf053fe6140,Москва,2023-10-22 11:29:22.000,2024-06-21 12:10:25.000,"243 days 00:41:03",5,5.0000000000000000,2,0,0.0000,37983.00,7596.60,2,0,1,1,0
"8961b4ca2c5aceb7a78ea72c6e0c840a",Москва,2023-11-27 22:10:49.000,2024-06-23 17:45:33.000,"208 days 19:34:44",3,3.00000000000000000000,2,0,0.0000,19055.00,6351.67,1,0,0,1,0
b2e9a05d23ea17713b5d7799f2004f8e,Москва,2024-07-26 14:26:07.000,2024-07-29 05:12:32.000,"2 days 14:46:25",3,5.0000000000000000,1,0,0.0000,18140.00,6046.67,1,0,1,1,0
"6419a1be8feac26ec793667b71cbaeb4",Санкт-Петербург,2023-06-04 23:49:13.000,2023-12-26 14:57:27.000,"204 days 15:08:14",3,5.0000000000000000,3,0,0.0000,18120.00,6040.00,3,0,0,1,0
ab243cd9e788d689cc822380f59616e1,Москва,2023-09-24 10:47:39.000,2024-02-01 09:39:48.000,"129 days 22:52:09",3,4.0000000000000000,2,0,0.0000,17725.00,5908.33,2,0,0,1,0
e30b83af13d6ff0b0f427b2a67c43b39,Новосибирская область,2023-01-19 14:38:27.000,2023-11-28 10:44:35.000,"312 days 20:06:08",3,4.6666666666666667,3,0,0.0000,16675.00,5558.33,3,0,0,1,0
"3de0c9303f39b7ccfe69ca11aee19cc6",Москва,2024-01-19 14:06:44.000,2024-04-25 11:42:05.000,"96 days 21:35:21",3,4.0000000000000000,2,0,0.0000,16580.00,5526.67,3,0,0,1,0
